id,course,module,instance,section,idnumber,added,score,indent,visible,visibleoncoursepage,visibleold,showdescription
600,11,9,45,103,,1536144431,0,0,1,1,1,0
601,11,20,299,103,,1536216424,0,0,0,1,0,0
602,11,20,300,103,,1567494298,0,0,0,1,0,0
603,11,20,301,103,,1600172163,0,0,1,1,1,0
604,11,20,302,103,PL-INTRO,1602092727,0,0,1,1,1,1
605,11,7,10,103,,1544808372,0,0,1,1,1,1
606,11,20,303,105,VL.W1,1537735559,0,0,1,1,1,1
607,11,17,144,105,,1537770483,0,0,0,1,0,0
608,11,17,145,105,RT.W1,1537770882,0,0,1,1,1,1
609,11,20,304,105,VG.W1,1537771210,0,0,1,1,1,1
610,11,16,37,105,WQ.W1,1600778292,0,0,1,1,1,1
611,11,7,11,105,OQ.W1,1578329680,0,0,1,1,1,0
612,11,20,305,106,WEBINAR1.W2,1601455377,0,0,1,1,1,0
613,11,20,306,106,VW2-W2,1601478549,0,0,1,1,1,1
614,11,20,307,106,RO1.W2,1538238248,0,0,1,1,1,0
615,11,20,308,106,RO2.W2,1538237925,0,0,1,1,1,0
616,11,16,38,106,WQ1.W2,1601475389,0,0,1,1,1,0
617,11,20,309,106,SL1-W2,1602092991,0,0,1,1,1,0
618,11,20,310,107,VL1-W3,1602092030,0,0,1,1,1,1
619,11,17,146,107,RO1-W3,1602081220,0,0,1,1,1,1
620,11,17,147,107,RO2-W3,1602081304,0,0,1,1,1,1
621,11,20,311,107,URL-W3,1602081384,0,0,1,1,1,1
622,11,15,11,107,EGG-W3,1602092513,0,0,1,1,1,0
623,11,1,27,107,AS1 - W3,1602091725,0,0,1,1,1,1
624,11,20,312,108,,1538237745,0,0,0,1,0,0
625,11,17,148,108,,1538307578,0,0,0,1,0,0
626,11,17,149,108,,1573481733,0,0,0,1,0,0
627,11,9,46,108,,1537771581,0,0,0,1,0,0
628,11,20,313,108,,1538308858,0,0,0,1,0,0
629,11,17,150,108,,1538653036,0,0,0,1,0,0
630,11,20,314,108,,1538771985,0,0,0,1,0,0
631,11,20,315,108,,1569594095,0,0,0,1,0,0
632,11,20,316,108,,1569595528,0,0,0,1,0,0
633,11,20,317,108,,1569597507,0,0,0,1,0,0
634,11,20,318,108,VO1-W4,1602665061,0,0,1,1,1,1
635,11,20,319,108,URL1-W4,1602665891,0,0,1,1,1,1
636,11,20,320,108,VO2-W4,1602666328,0,0,1,1,1,1
637,11,20,321,108,URLdata-W4,1602666456,0,0,1,1,1,1
638,11,20,322,108,urlkglexample.W4,1602698151,0,0,1,1,1,1
639,11,20,323,109,WEBINAR2-W5,1603195831,0,0,1,1,1,1
640,11,1,28,109,AS2.W5,1603282370,0,0,1,1,1,0
641,11,17,151,109,RO.W5,1603291772,0,0,1,1,1,0
642,11,17,152,109,RO2.W5,1603291874,0,0,1,1,1,0
643,11,17,153,109,RO3.W5,1603292200,0,0,1,1,1,0
644,11,20,324,109,VW2.W5,1603360745,0,0,1,1,1,0
645,11,17,154,109,slides.W5,1603360929,0,0,1,1,1,0
646,11,20,325,110,VO1.W6,1603889281,0,0,1,1,1,0
647,11,20,326,110,VO2.W6,1603889355,0,0,1,1,1,0
648,11,15,12,110,LST.W6,1603889007,0,0,1,1,1,0
649,11,21,9,110,KBMAIN.W6,1603892389,0,0,1,1,1,0
650,11,20,327,110,,1570543657,0,0,0,1,0,0
651,11,20,328,110,,1569835899,0,0,0,1,0,1
652,11,17,155,110,,1570454158,0,0,0,1,0,1
653,11,20,329,110,,1570457728,0,0,0,1,0,1
654,11,17,156,110,,1570457817,0,0,0,1,0,1
655,11,20,330,110,,1539111148,0,0,0,1,0,0
656,11,17,157,110,,1539112481,0,0,0,1,0,0
657,11,20,331,110,,1539003151,0,0,0,1,0,0
658,11,1,29,110,,1539113019,0,0,0,1,0,0
659,11,21,10,110,WIKI.W6,1603890239,0,0,0,1,0,0
660,11,20,332,110,,1539113201,0,0,0,1,0,0
661,11,20,333,110,,1539113274,0,0,0,1,0,0
662,11,17,158,110,,1539113695,0,0,0,1,0,0
663,11,20,334,111,NB.W7,1604510530,0,0,1,1,1,1
664,11,16,39,111,WQ.W7,1604511025,0,0,1,1,1,1
665,11,17,159,111,DM.W7,1604511328,0,0,1,1,1,1
666,11,9,47,111,DF.W7,1604511425,0,0,1,1,1,1
667,11,20,335,111,VL01.W7,1605036065,0,0,1,1,1,1
668,11,20,336,112,KN.W8,1605106839,0,0,1,1,1,1
669,11,16,40,112,SQ.W8,1605107284,0,0,1,1,1,1
670,11,17,160,112,NB.W8,1605108181,0,0,1,1,1,1
671,11,17,161,112,RO.W8,1605108890,0,0,1,1,1,1
672,11,9,48,112,DF.W8,1605108948,0,0,1,1,1,1
