id,userid,forumid,discussionid,postid,firstread,lastread
5850,124,45,33,257,1607892183,1607892183
5851,124,45,33,256,1607886640,1607892067
5852,124,45,36,301,1600685054,1607886524
5853,124,45,36,300,1600685054,1607886524
5854,124,45,36,299,1600685054,1607886524
5855,124,45,36,298,1600685054,1607886524
5856,124,45,36,297,1600685054,1607886524
5857,124,45,36,296,1600685054,1607886524
5858,124,45,36,295,1600685054,1607886524
5859,124,45,36,294,1600685054,1607886524
5860,124,45,36,293,1600685054,1607886524
5861,124,45,36,292,1600685054,1607886524
5862,124,45,36,291,1600685054,1607886524
5863,124,45,36,290,1600685054,1607886524
5864,124,45,36,289,1600685054,1607886524
5865,124,45,36,288,1600685054,1607886524
5866,124,45,36,287,1600685054,1607886524
5867,124,45,36,286,1600685054,1607886524
5868,124,45,36,285,1600685054,1607886524
5869,124,45,36,284,1600186286,1607886524
5870,124,45,36,283,1600186286,1607886524
5871,124,45,36,278,1600172071,1607886524
5872,124,45,36,303,1600850026,1607886524
5873,124,45,35,277,1604303174,1604397391
5874,124,45,35,276,1604303103,1604397391
5875,124,45,35,271,1603291572,1604397391
5876,124,45,35,270,1603291325,1604397391
5877,124,45,35,269,1603279821,1604397391
5878,124,45,35,266,1603101338,1604397391
5879,124,45,35,265,1602698274,1604397391
5880,124,45,35,260,1601469535,1604397391
5881,124,45,35,275,1603453881,1604397391
5882,124,45,35,274,1603453881,1604397391
5883,124,45,35,273,1603293250,1604397391
5884,124,45,35,272,1603293197,1604397391
5885,124,45,35,268,1603279748,1604397391
5886,124,45,35,267,1603101518,1604397391
5887,124,45,35,264,1602698230,1604397391
5888,124,45,34,258,1601628821,1607886508
5889,124,45,35,263,1601479547,1604397391
5890,124,45,35,262,1601479528,1604397391
5891,124,45,35,261,1601469616,1604397391
5892,124,45,35,259,1601032866,1604397391
5893,124,45,36,302,1600685054,1607886524
5894,124,45,36,282,1600186286,1607886524
5895,124,45,36,281,1600186286,1607886524
5896,124,45,36,280,1600186286,1607886524
5897,124,45,36,279,1600176659,1607886524
5898,143,45,33,257,1607907109,1607907109
5899,143,45,33,256,1607907109,1607907109
5900,143,45,35,273,1603310338,1605728181
5901,143,45,35,272,1603310338,1605728181
5902,143,45,35,271,1603310338,1605728181
5903,143,45,35,270,1603310338,1605728181
5904,143,45,35,277,1605728181,1605728181
5905,143,45,35,276,1605728181,1605728181
5906,143,45,36,300,1600760862,1605113368
5907,143,45,36,299,1600760862,1605113368
5908,143,45,36,298,1600760862,1605113368
5909,143,45,36,297,1600760862,1605113368
5910,143,45,36,296,1600760862,1605113368
5911,143,45,36,295,1600760862,1605113368
5912,143,45,36,292,1600760862,1605113368
5913,143,45,36,291,1600760862,1605113368
5914,143,45,36,290,1600760862,1605113368
5915,143,45,36,289,1600760862,1605113368
5916,143,45,36,288,1600760862,1605113368
5917,143,45,36,287,1600760862,1605113368
5918,143,45,36,286,1600760862,1605113368
5919,143,45,35,267,1603187474,1605728181
5920,143,45,35,266,1603187474,1605728181
5921,143,45,35,265,1603187474,1605728181
5922,143,45,35,264,1603187474,1605728181
5923,143,45,35,275,1603434750,1605728181
5924,143,45,35,274,1603434750,1605728181
5925,143,45,36,294,1600760862,1605113368
5926,143,45,36,293,1600760862,1605113368
5927,143,45,35,269,1603310338,1605728181
5928,143,45,35,268,1603310338,1605728181
5929,143,45,36,303,1600790026,1605113368
5930,143,45,36,302,1600760862,1605113368
5931,143,45,36,301,1600760862,1605113368
5932,143,45,36,285,1600760862,1605113368
5933,143,45,36,284,1600760862,1605113368
5934,143,45,36,283,1600760862,1605113368
5935,143,45,34,258,1601656921,1603312422
5936,143,45,35,263,1601479715,1605728181
5937,143,45,35,262,1601479715,1605728181
5938,143,45,35,261,1601479715,1605728181
5939,143,45,35,260,1601479715,1605728181
5940,143,45,35,259,1601184454,1605728181
5941,143,45,36,282,1600760862,1605113368
5942,143,45,36,281,1600760862,1605113368
5943,143,45,36,280,1600760862,1605113368
5944,143,45,36,279,1600760862,1605113368
5945,143,45,36,278,1600760862,1605113368
5946,159,45,36,288,1600197757,1600197757
5947,159,45,36,287,1600197757,1600197757
5948,159,45,36,286,1600197757,1600197757
5949,159,45,36,285,1600197757,1600197757
5950,159,45,36,284,1600197757,1600197757
5951,159,45,36,283,1600197757,1600197757
5952,159,45,36,282,1600197757,1600197757
5953,159,45,36,281,1600197757,1600197757
5954,159,45,36,280,1600197757,1600197757
5955,159,45,36,279,1600197757,1600197757
5956,159,45,36,278,1600197757,1600197757
5957,160,45,33,257,1607903029,1607903029
5958,160,45,33,256,1607903029,1607903029
5959,160,45,35,277,1604312328,1604312328
