Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"4/01/21, 23:04",anonfirstname31 anonlastname31,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '143' viewed the 'quiz' activity with course module id '716'.,
"4/01/21, 23:04",anonfirstname31 anonlastname31,-,Course: test_anon,System,Course viewed,The user with id '143' viewed the course with id '11'.,
"4/01/21, 22:38",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,User report,Grade user report viewed,The user with id '143' viewed the user report in the gradebook.,
"4/01/21, 22:38",anonfirstname31 anonlastname31,-,Course: test_anon,System,Course viewed,The user with id '143' viewed the course with id '11'.,
"4/01/21, 22:38",anonfirstname31 anonlastname31,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '143' viewed the 'quiz' activity with course module id '716'.,
"4/01/21, 22:30",anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: test_anon,User report,Grade user report viewed,The user with id '174' viewed the user report in the gradebook.,
"4/01/21, 22:28",anonfirstname65 anonlastname65,anonfirstname65 anonlastname65,Course: test_anon,User report,Grade user report viewed,The user with id '177' viewed the user report in the gradebook.,
"4/01/21, 22:27",anonfirstname65 anonlastname65,-,Course: test_anon,System,Course viewed,The user with id '177' viewed the course with id '11'.,
"4/01/21, 21:42",anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: test_anon,Overview report,Grade overview report viewed,The user with id '163' viewed the overview report in the gradebook.,
"4/01/21, 21:42",anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: test_anon,User report,Grade user report viewed,The user with id '163' viewed the user report in the gradebook.,
"4/01/21, 21:42",anonfirstname51 anonlastname51,-,Course: test_anon,System,Course viewed,The user with id '163' viewed the course with id '11'.,
"4/01/21, 21:26",anonfirstname31 anonlastname31,-,URL: Week 1: Introductory lecture for the course (video),URL,Course module viewed,The user with id '143' viewed the 'url' activity with course module id '606'.,
"4/01/21, 21:18",anonfirstname66 anonlastname66,anonfirstname66 anonlastname66,Course: test_anon,User report,Grade user report viewed,The user with id '178' viewed the user report in the gradebook.,
"4/01/21, 21:17",anonfirstname66 anonlastname66,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '178' viewed the 'quiz' activity with course module id '716'.,
"4/01/21, 21:16",anonfirstname47 anonlastname47,anonfirstname47 anonlastname47,Course: test_anon,User report,Grade user report viewed,The user with id '159' viewed the user report in the gradebook.,
"4/01/21, 21:16",anonfirstname47 anonlastname47,-,Course: test_anon,Assignment,Course module instance list viewed,The user with id '159' viewed the instance list for the module 'assign' in the course with id '11'.,
"4/01/21, 21:16",anonfirstname47 anonlastname47,-,Course: test_anon,System,Course viewed,The user with id '159' viewed the course with id '11'.,
"4/01/21, 21:09",anonfirstname31 anonlastname31,-,URL: Syllabus info SVHI.06.016 (20/21 A block mode),URL,Course module viewed,The user with id '143' viewed the 'url' activity with course module id '603'.,
"4/01/21, 21:08",anonfirstname31 anonlastname31,-,URL: Week 1: Introductory lecture for the course (video),URL,Course module viewed,The user with id '143' viewed the 'url' activity with course module id '606'.,
"4/01/21, 21:06",anonfirstname31 anonlastname31,-,URL: Syllabus info SVHI.06.016 (20/21 A block mode),URL,Course module viewed,The user with id '143' viewed the 'url' activity with course module id '603'.,
"4/01/21, 21:05",anonfirstname48 anonlastname48,anonfirstname48 anonlastname48,Course: test_anon,Overview report,Grade overview report viewed,The user with id '160' viewed the overview report in the gradebook.,
"4/01/21, 21:05",anonfirstname48 anonlastname48,anonfirstname48 anonlastname48,Course: test_anon,User report,Grade user report viewed,The user with id '160' viewed the user report in the gradebook.,
"4/01/21, 21:05",anonfirstname48 anonlastname48,-,Course: test_anon,System,Course viewed,The user with id '160' viewed the course with id '11'.,
