id,quiz,userid,grade,timemodified
465,37,163,3.0,1607430521
466,37,173,2.66667,1607430496
467,37,165,3.0,1607430455
468,37,176,2.0,1607430347
469,37,180,1.66667,1607430299
471,37,179,3.0,1607430182
472,37,171,3.0,1607430153
473,37,170,2.66667,1607430105
474,37,174,2.33333,1607430007
475,37,178,3.0,1607429850
476,37,185,3.0,1607429795
477,37,159,3.0,1607429758
478,37,175,3.0,1607429709
479,37,182,2.0,1607429585
480,37,161,3.0,1607429526
481,37,172,3.0,1607429465
482,37,169,3.0,1607429283
483,37,168,3.0,1607429237
484,37,167,3.0,1607429157
485,37,160,3.0,1607429051
486,37,177,3.0,1607428922
488,37,166,2.0,1607430597
489,38,167,2.75,1607806533
490,38,177,3.75,1607776793
491,38,165,3.75,1607776780
492,38,180,2.5,1607776771
493,38,174,2.25,1607776761
494,38,182,3.5,1607776744
495,38,143,1.25,1607776716
496,38,171,4.0,1607776716
497,38,181,2.75,1607776716
499,38,173,2.5,1607776704
500,38,179,3.25,1607776704
501,38,170,3.75,1607776704
502,38,161,3.75,1607776716
503,38,169,3.75,1607776687
505,38,185,3.75,1607776716
506,38,176,2.75,1607776669
507,38,175,2.25,1607776669
508,38,178,2.75,1607776687
509,38,172,3.75,1607776669
510,38,160,3.75,1607776687
511,39,165,10.0,1607434768
512,39,178,10.0,1607434710
513,39,185,10.0,1607434645
514,39,175,10.0,1607434532
515,39,172,10.0,1607434441
516,39,170,10.0,1607434352
517,39,143,3.33333,1607434256
518,39,182,10.0,1607434112
519,39,160,10.0,1607434023
520,39,169,10.0,1607433908
522,39,173,10.0,1607431436
524,39,180,10.0,1607431053
525,40,175,3.0,1607778708
527,40,171,3.0,1607778708
528,40,182,3.0,1607778708
530,40,170,3.0,1607778708
531,40,172,3.0,1607778708
532,40,180,3.0,1607778708
533,40,185,3.0,1607778708
534,40,160,3.0,1607778708
535,41,181,10.0,1607780173
536,41,172,10.0,1607780173
538,41,185,10.0,1607780173
539,41,160,10.0,1607780173
540,41,170,10.0,1607780173
541,41,171,10.0,1607780173
543,41,175,10.0,1607780173
544,41,182,10.0,1607780173
545,42,180,3.0,1607781975
546,42,160,3.0,1607781896
547,42,185,3.0,1607781896
548,42,172,3.0,1607781896
549,42,171,3.0,1607781896
552,42,175,3.0,1607781896
553,42,143,2.0,1607781896
554,42,170,3.0,1607781896
555,43,166,10.0,1609770557
557,43,159,10.0,1609770557
558,43,176,7.5,1609770557
560,43,143,6.0,1609770557
561,43,179,9.5,1609770557
562,43,177,8.5,1609770557
563,43,178,9.5,1609770557
564,43,167,10.0,1609770557
565,43,173,9.5,1609770557
566,43,185,10.0,1609770557
567,43,171,10.0,1609770557
568,43,165,9.5,1609770557
569,43,181,9.0,1609770557
570,43,174,9.0,1609770557
571,43,160,10.0,1609770557
572,43,175,7.5,1609770557
573,43,172,10.0,1609770556
574,43,163,10.0,1609770556
575,43,168,10.0,1609770556
576,43,180,9.0,1609770556
577,43,161,8.0,1609770556
578,43,169,10.0,1609770556
579,43,182,10.0,1609770556
580,43,170,10.0,1609770556
